text,labels,source_text,active_labels
"В этом разделе не хватает ссылок на источники информации.
Информация должна быть проверяема, иначе она может быть поставлена под сомнение и удалена.
Укажите email, на который будет отправлен Ваш новый пароль. Впоследствии Вы сможете изменить пароль в личном профиле. Для этого перейдите по ссылке в письме, которое Вы указали при регистрации. Также Вы можете указать пароль, используя Ваш аккаунт в социальных сетях. На этот адрес будет отправлено письмо с кодом активации. Код подтверждения придет в течение нескольких минут","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",билет рубль премьера социально художественный театр эмигрант спектакль безвременье мотив пьеса славо...,"[0, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18]"
"Оставить комментарий..
В рамках реализации национального проекта «Производительность труда и поддержка занятости» в 2019 году в России будет продолжена работа по снижению неформальной занятости. Об этом заявила министр труда, социальной защиты и трудовых отношений РФ Татьяна Голикова.
«В 2019-2020 годах мы продолжим работу по сокращению неформальных трудовых ресурсов. Это позволит в разы снизить неформальную занятость», — сказала она на заседании президиума Госсовета в четверг, 29 января. По ее словам","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",спектакль старомодный комедия театр комедия октябрь билет ссылка промокод комедия актёрский состав а...,"[1, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18]"
"Анекдоты.ру - это сайт с анекдотами, смешными историями и анектопадами.
В Москве прошла презентация книги «Кремлевские тайны»
Москва, 5 августа 2020, 08:30 — REGNUM В Москве состоялась презентация новой книги, посвященной истории кремлевской резидентуры.
Как сообщает корреспондент ИА REGNUM, презентация прошла в рамках проекта «Память поколений», который реализуется при поддержке правительства Москвы. В мероприятии приняли участие представители руководства и сотрудники органов государственной власти","[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0]",культурный стендапъ пров рка матёрый ала май среда начало соляный переулок вход бесплатный бронь ссы...,"[0, 1, 4, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18]"
"Пожалуйста, выберите из списка ниже наиболее подходящий вариант.
Нажмите здесь, чтобы скопировать выделенный фрагмент.
В России за последние годы значительно увеличилось число случаев коронавирусной инфекции. По данным на утро 22 июля, в стране зафиксировано более 14 тысяч случаев заболевания COVID-19. За последние сутки в России выявлено 899 новых случаев заражения, сообщает РИА Новости со ссылкой на оперативный штаб по борьбе с коронави...
Движение на участке трассы М-11 в районе Хим","[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0]",фестиваль самобытный керамика это этаж авторский керамика посуда плитка интерьерный керамика украшен...,"[1, 4, 7, 8, 9, 12, 13, 16, 17, 18]"
"Пожалуйста, включите JavaScript в Вашем обозревателе для того, чтобы оставить комментарий!
Какие продукты можно есть при панкреатите?
© Все права защищены.
В этом году в рамках проекта «Территория смыслов» в селе Елшанка состоялась выставка «Село Елка» — проект, который направлен на поддержку местных творческих коллективов, работающих в сфере культуры и искусства.
На выставке было представлено около 100 работ, выполненных в различных техниках, и","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]",гастрономический фестиваль всё насыщенный гастрономический музыкальный развлекательный программа апр...,"[0, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18]"
"Введите текст без пробелов и переносов.
Клиника «Лазерный Доктор» в городе Химки расположена по адресу: улица Черняховского, дом 4.
Отделение лазерной медицины клиники «LaserDoctor» — это современный центр лазерного лечения и косметологии. В клинике работают высококвалифицированные специалисты, которые с помощью лазера способны восстановить здоровье и красоту. Лазерное лечение — один из самых эффективных методов, который помогает избавиться от многих заболеваний.","[0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",музыкально поэтический утопия образ любовь устройство забор июль театральный центр коломенский скидк...,"[1, 2, 7, 8, 9, 10, 11, 12, 14, 16, 17, 18]"
"Зарегистрируйтесь / залогиньтесь для выкачки нескольких тегов.
Войти анонимно Не добавлять меня в список активных пользователей.
Благодаря использованию современных технологий, в том числе и в области производства, мы можем предложить своим клиентам самые выгодные цены на все виды строительных материалов. В нашей компании можно заказать и купить все необходимые материалы для проведения ремонтных работ, а также для выполнения отделочных работ. Мы предоставляем возможность купить строительные материалы оптом по самым выгодным ценам. Кроме того, у нас","[1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0]",феерический комедия номер театриум серпуховка зуев билет ссылка промокод тик роль мирослав карпович ...,"[0, 1, 4, 7, 8, 9, 11, 12, 13, 14, 16, 17, 18]"
"Оригинал взят у в О чем говорят дети?
Все мы с детства знаем, что дети говорят.
Но не все знают, о чем они говорят!
А говорят они о многом: о том, как они проводят свое свободное время, чем занимаются, какие у них планы на будущее и т.д. И, конечно, дети не говорят о своих проблемах, потому что они не знают как их решить.
В России на каждого россиянина приходится по три иностранца Оригин","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0]",июнь фестиваль пион ребёнок менделеев ботанический сад...,"[0, 1, 8, 12, 13, 15, 16, 19]"
"Узнай, как правильно составлять резюме, чтобы тебя взяли на работу.
Как составить резюме правильно?
В статье мы расскажем, что такое резюме и как его составить правильно. Также мы дадим несколько советов по его составлению.
Вы можете войти на сайт, если вы зарегистрированы на одном из этих сервисов:. Войти на этот сайт можно, используя свою учетную запись на любом из предложенных ниже сервисов. Выберите сервис, на котором вы уже зарегистрированы. (далее)
На этой странице представлен","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",локальныйбренд мастерская ручной вязка асий идрисовый неважно сколько градус улица мороз страшный вя...,"[0, 4, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18]"
"Вход свободный!
Кинотеатр ""Киномакс"" - это один из самых популярных кинотеатров в городе. Здесь можно посмотреть самые лучшие фильмы, мультфильмы и сериалы, а также новинки кинопроката.
Официальный сайт кинотеатра Киномакса
Мы рады сообщить, что теперь в нашем кинотеатре Киновакс можно купить билет в кино онлайн!
Что делать, если в доме появился таракан?
Таракан – это не только неприятное насекомое","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.0]",семь самурай февраль галерея парк немчинов состояться показ фильм акир куросава семь самурай самый з...,"[0, 9, 11, 12, 13, 15, 16, 17, 18]"
